Spørsmål;Svar;linker
"
 Hva regnes reisetid forbindelse arbeid , hva regnes reisetid?;Reisetid forbindelse arbeid inkluderer tiden brukt reise arbeidssted / bosted forretningssted", inkludert nødvendig ventetid underveis. Tiden tilbrakt på hotell o.l. regnes ikke som reisetid.Les mer om reisetid i Statens personalhåndbok kapittel 7.3.8;https://lovdata.no/dokument/SPH/sph-2024/KAPITTEL_7#KAPITTEL_7
"
 Hva kjernetiden ytre arbeidstiden Husbanken?;Kjernetiden Husbanken kl. 09.00 14.30 året", og den ytre arbeidstiden er fra kl. 0600 til kl. 0900 og fra kl. 1430 til kl. 2100 mandag til fredag hele året. Etter avtale med leder, kan ansatte arbeide fleksitid også på lørdager med inntil 5 timer mellom kl. 0700 og kl. 1800. se Staten personalhåndbok 10.8.2.2;https://lovdata.no/dokument/SPH/sph-2024/KAPITTEL_10#KAPITTEL_10
"
 Hvor plusstimer ansatte avspasere per kalenderår?;Ansatte avspasere inntil 180 timer per kalenderår . Eventuelle pluss- minustimer automatisk overført", men det er begrensninger på hvor mange plusstimer og minustimer som kan overføres.;
"
 Hvordan ansatte registrere arbeidstid fravær ? ; Ansatte registrere arbeidstid fravær DFØ-appen SAP selvbetjeningsportalen unngå potensielle lønnstrekk årets slutt.;https://dfo.no / kundesider / tid-og-fravaer"
"Hvor timer jobber ansatte vanligvis per Husbanken?;""Det arbeidstidsbestemmelsene arbeidsmiljølovens kap . 10", hovedtariffavtalene
hovedavtalenNormalarbeidstiden Husbanken varierer sommer vinter . 15. mai 14. september arbeidstiden kl. 08.00-15.00," mens fra 15. september til 14. mai er arbeidstiden kl. 08.00-15.45"";"
informasjon gjennomsnittlige arbeidstiden Husbanken, og er det sesongmessige variasjoner?;Det er arbeidstidsbestemmelsene i arbeidsmiljølovens kap. 10, hovedtariffavtalene hovedavtalenNormalarbeidstiden i Husbanken varierer mellom sommer og vinter. Fra 15. mai til 14. september er arbeidstiden kl. 08.00-15.00, mens fra 15. september til 14. mai er arbeidstiden kl. 08.00-15.45;
Hvordan ordinære arbeidstiden Husbanken," og er det endringer i arbeidstidene sine i løpet av året?;""Det er arbeidstidsbestemmelsene i arbeidsmiljølovens kap. 10", hovedtariffavtalene
hovedavtalenNormalarbeidstiden Husbanken varierer sommer vinter . 15. mai 14. september arbeidstiden kl. 08.00-15.00," mens fra 15. september til 14. mai er arbeidstiden kl. 08.00-15.45"";"
Hvordan fridagene organisert ansatte Husbanken?;Ansatte Husbanken fri følgende høytidsdager : Nyttårsdag ( 1. januar ), skjærtorsdag, langfredag, påskeaften, 1. og 2. påskedag, 1. mai, 17. mai, kristi himmelfartsdag, 1. og 2. pinsedag, 1. og 2. juledag (25. og 26. desember). I tillegg har de fri jul- eller nyttårsaften og én valgfri arbeidsdag i romjulen;
Hvordan fridagene organisert ansatte Husbanken?;Ansatte Husbanken fri følgende høytidsdager : Nyttårsdag ( 1. januar ), skjærtorsdag, langfredag, påskeaften, 1. og 2. påskedag, 1. mai, 17. mai, kristi himmelfartsdag, 1. og 2. pinsedag, 1. og 2. juledag (25. og 26. desember). I tillegg har de fri jul- eller nyttårsaften og én valgfri arbeidsdag i romjulen;
Hvordan fridagene organisert ansatte Husbanken?;Ansatte Husbanken fri følgende høytidsdager : Nyttårsdag ( 1. januar ), skjærtorsdag, langfredag, påskeaften, 1. og 2. påskedag, 1. mai, 17. mai, kristi himmelfartsdag, 1. og 2. pinsedag, 1. og 2. juledag (25. og 26. desember). I tillegg har de fri jul- eller nyttårsaften og én valgfri arbeidsdag i romjulen;
Hva betraktes reisetid sammenheng arbeid, og hva anses ikke som reisetid?;Reisetid i forbindelse med arbeid inkluderer tiden brukt på å reise mellom arbeidssted/bosted og forretningssted, inkludert nødvendig ventetid underveis. Tiden tilbrakt på hotell o.l. regnes ikke som reisetid.Les mer om reisetid i Statens personalhåndbok kapittel 7.3.8;https://lovdata.no/dokument/SPH/sph-2024/KAPITTEL_7#KAPITTEL_7
