Spørsmål;Svar;Les mer her…;Link;Spørsmål_uten_stopwords;Svar_uten_stopwords
Hei;Hei! Hvordan kan jeg hjelpe deg i dag?;;;Hei;Hei ! Hvordan hjelpe deg ?
Heisann;Hei! Hvordan kan jeg hjelpe deg i dag?;;;Heisann;Hei ! Hvordan hjelpe deg ?
Heihei;Hei! Hvordan kan jeg hjelpe deg i dag?;;;Heihei;Hei ! Hvordan hjelpe deg ?
God dag;God dag! Hvordan kan jeg hjelpe deg i dag?;;;;! Hvordan hjelpe deg ?
Heis;Hei! Hvordan kan jeg hjelpe deg i dag?;;;Heis;Hei ! Hvordan hjelpe deg ?
Morn;God morgen! Hvordan kan jeg hjelpe deg i dag?;;;Morn;morgen ! Hvordan hjelpe deg ?
Hallo;Hei! Hvordan kan jeg hjelpe deg i dag?;;;Hallo;Hei ! Hvordan hjelpe deg ?
"
Hva regnes som reisetid i forbindelse med arbeid, og hva regnes ikke som reisetid?";Reisetid i forbindelse med arbeid inkluderer tiden brukt på å reise mellom arbeidssted/bosted og forretningssted, inkludert nødvendig ventetid underveis. Tiden tilbrakt på hotell o.l. regnes ikke som reisetid.Les mer om reisetid i Statens personalhåndbok kapittel 7.3.8;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid;"
 Hva regnes reisetid forbindelse arbeid , hva regnes ikke reisetid ?";Reisetid forbindelse arbeid inkluderer tiden brukt å reise arbeidssted / bosted forretningssted , inkludert nødvendig ventetid underveis . Tiden tilbrakt hotell o.l. regnes ikke reisetid . Les reisetid Statens personalhåndbok kapittel 7.3.8
"
Hva er kjernetiden og den ytre arbeidstiden i Husbanken?";Kjernetiden i Husbanken er kl. 09.00 til 14.30 hele året, og den ytre arbeidstiden er fra kl. 0600 til kl. 0900 og fra kl. 1430 til kl. 2100 mandag til fredag hele året. Etter avtale med leder, kan ansatte arbeide fleksitid også på lørdager med inntil 5 timer mellom kl. 0700 og kl. 1800. se Staten personalhåndbok 10.8.2.2;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid;"
 Hva kjernetiden ytre arbeidstiden Husbanken ?";Kjernetiden Husbanken kl. 09.00 14.30 hele året , ytre arbeidstiden kl. 0600 kl. 0900 kl. 1430 kl. 2100 mandag fredag hele året . avtale leder , ansatte arbeide fleksitid lørdager inntil 5 timer kl. 0700 kl. 1800. Staten personalhåndbok 10.8.2.2
"
Hvor mange plusstimer kan ansatte avspasere per kalenderår?";Ansatte kan avspasere inntil 180 timer per kalenderår. Eventuelle pluss- og minustimer blir automatisk overført til neste år, men det er begrensninger på hvor mange plusstimer og minustimer som kan overføres.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid;"
 Hvor plusstimer ansatte avspasere per kalenderår ?";Ansatte avspasere inntil 180 timer per kalenderår . Eventuelle pluss- minustimer automatisk overført , begrensninger hvor plusstimer minustimer overføres .
